word,count,average_count
stomach,11,0.012154696132596685
icy,11,0.012154696132596685
red,11,0.012154696132596685
partn,11,0.012154696132596685
burm,11,0.012154696132596685
sid,11,0.012154696132596685
lur,11,0.012154696132596685
skill,11,0.012154696132596685
swallow,11,0.012154696132596685
child,11,0.012154696132596685
attacked,11,0.012154696132596685
soon,11,0.012154696132596685
throughout,11,0.012154696132596685
enabl,11,0.012154696132596685
past,11,0.012154696132596685
ultrasonic,10,0.011049723756906077
far,10,0.011049723756906077
intensely,10,0.011049723756906077
drift,10,0.011049723756906077
excited,10,0.011049723756906077
spin,10,0.011049723756906077
children,10,0.011049723756906077
steal,10,0.011049723756906077
stick,10,0.011049723756906077
aur,10,0.011049723756906077
rapidly,10,0.011049723756906077
sturdy,10,0.011049723756906077
float,10,0.011049723756906077
rolling,10,0.011049723756906077
cotton,10,0.011049723756906077
beast,10,0.011049723756906077
bottom,10,0.011049723756906077
fin,10,0.011049723756906077
someon,10,0.011049723756906077
shaped,10,0.011049723756906077
las,10,0.011049723756906077
filled,10,0.011049723756906077
sight,10,0.011049723756906077
try,10,0.011049723756906077
king,10,0.011049723756906077
usually,10,0.011049723756906077
friend,10,0.011049723756906077
presenc,10,0.011049723756906077
femal,10,0.011049723756906077
fragranc,10,0.011049723756906077
chas,10,0.011049723756906077
pick,10,0.011049723756906077
cloud,10,0.011049723756906077
walk,10,0.011049723756906077
burrow,10,0.011049723756906077
communicat,10,0.011049723756906077
angry,10,0.011049723756906077
stuck,10,0.011049723756906077
spew,10,0.011049723756906077
hind,10,0.011049723756906077
almost,10,0.011049723756906077
throw,10,0.011049723756906077
freez,10,0.011049723756906077
tiny,10,0.011049723756906077
tough,10,0.011049723756906077
hum,10,0.011049723756906077
going,10,0.011049723756906077
rid,10,0.011049723756906077
alol,10,0.011049723756906077
open,10,0.011049723756906077
remaim,10,0.011049723756906077
covering,10,0.011049723756906077
getting,10,0.011049723756906077
reason,10,0.011049723756906077
giant,10,0.011049723756906077
evolved,10,0.011049723756906077
resembl,10,0.011049723756906077
play,9,0.009944751381215469
path,9,0.009944751381215469
bigg,9,0.009944751381215469
turm,9,0.009944751381215469
rais,9,0.009944751381215469
hundred,9,0.009944751381215469
appl,9,0.009944751381215469
environment,9,0.009944751381215469
vici,9,0.009944751381215469
blood,9,0.009944751381215469
caught,9,0.009944751381215469
piec,9,0.009944751381215469
legendary,9,0.009944751381215469
jet,9,0.009944751381215469
causing,9,0.009944751381215469
jump,9,0.009944751381215469
toward,9,0.009944751381215469
cannon,9,0.009944751381215469
swift,9,0.009944751381215469
think,9,0.009944751381215469
taking,9,0.009944751381215469
orb,9,0.009944751381215469
fim,9,0.009944751381215469
incredibly,9,0.009944751381215469
herd,9,0.009944751381215469
symbol,9,0.009944751381215469
ont,9,0.009944751381215469
lot,9,0.009944751381215469
burn,9,0.009944751381215469
asleep,9,0.009944751381215469
psychokinetic,9,0.009944751381215469
happ,9,0.009944751381215469
clean,9,0.009944751381215469
turn,9,0.009944751381215469
twig,9,0.009944751381215469
young,9,0.009944751381215469
lay,9,0.009944751381215469
blizzard,9,0.009944751381215469
coal,9,0.009944751381215469
hold,9,0.009944751381215469
sudden,9,0.009944751381215469
soil,9,0.009944751381215469
rain,9,0.009944751381215469
spark,9,0.009944751381215469
fossil,9,0.009944751381215469
smash,9,0.009944751381215469
stalk,9,0.009944751381215469
might,9,0.009944751381215469
carri,9,0.009944751381215469
burning,9,0.009944751381215469
tong,9,0.009944751381215469
depending,9,0.009944751381215469
tremend,9,0.009944751381215469
extinct,9,0.009944751381215469
vari,8,0.008839779005524863
forehead,8,0.008839779005524863
skillfully,8,0.008839779005524863
potent,8,0.008839779005524863
ship,8,0.008839779005524863
opening,8,0.008839779005524863
viru,8,0.008839779005524863
draw,8,0.008839779005524863
depth,8,0.008839779005524863
bodi,8,0.008839779005524863
proud,8,0.008839779005524863
slowpok,8,0.008839779005524863
deliv,8,0.008839779005524863
diamond,8,0.008839779005524863
yet,8,0.008839779005524863
battling,8,0.008839779005524863
swing,8,0.008839779005524863
petal,8,0.008839779005524863
sawsbuck,8,0.008839779005524863
fallen,8,0.008839779005524863
nothing,8,0.008839779005524863
shap,8,0.008839779005524863
we,8,0.008839779005524863
magnetic,8,0.008839779005524863
mast,8,0.008839779005524863
shatt,8,0.008839779005524863
bond,8,0.008839779005524863
grip,8,0.008839779005524863
alon,8,0.008839779005524863
simil,8,0.008839779005524863
composition,8,0.008839779005524863
flight,8,0.008839779005524863
fiery,8,0.008839779005524863
fell,8,0.008839779005524863
poké,8,0.008839779005524863
headach,8,0.008839779005524863
alt,8,0.008839779005524863
defens,8,0.008839779005524863
melt,8,0.008839779005524863
beat,8,0.008839779005524863
edg,8,0.008839779005524863
training,8,0.008839779005524863
lak,8,0.008839779005524863
spread,8,0.008839779005524863
me,8,0.008839779005524863
styl,8,0.008839779005524863
migrat,8,0.008839779005524863
clash,8,0.008839779005524863
beneath,8,0.008839779005524863
gathered,8,0.008839779005524863
ton,8,0.008839779005524863
break,8,0.008839779005524863
rhythm,8,0.008839779005524863
graceful,8,0.008839779005524863
towering,8,0.008839779005524863
sneak,8,0.008839779005524863
intern,8,0.008839779005524863
equal,8,0.008839779005524863
particl,8,0.008839779005524863
ring,8,0.008839779005524863
man,8,0.008839779005524863
flock,8,0.008839779005524863
guard,8,0.008839779005524863
eaten,8,0.008839779005524863
split,8,0.008839779005524863
half,8,0.008839779005524863
follow,8,0.008839779005524863
blazing,8,0.008839779005524863
pearl,8,0.008839779005524863
shak,8,0.008839779005524863
rest,8,0.008839779005524863
deoxy,8,0.008839779005524863
spim,8,0.008839779005524863
preda,8,0.008839779005524863
travel,8,0.008839779005524863
leap,8,0.008839779005524863
crystallin,8,0.008839779005524863
explosiv,8,0.008839779005524863
escap,8,0.008839779005524863
erupt,8,0.008839779005524863
melodi,8,0.008839779005524863
physic,8,0.008839779005524863
gras,8,0.008839779005524863
cor,8,0.008839779005524863
releas,8,0.008839779005524863
activ,8,0.008839779005524863
effort,8,0.008839779005524863
ideal,8,0.008839779005524863
dreepy,8,0.008839779005524863
mark,8,0.008839779005524863
terrain,8,0.008839779005524863
left,8,0.008839779005524863
typ,8,0.008839779005524863
notic,8,0.008839779005524863
whisk,7,0.0077348066298342545
four,7,0.0077348066298342545
troubl,7,0.0077348066298342545
trying,7,0.0077348066298342545
sort,7,0.0077348066298342545
colorful,7,0.0077348066298342545
mysteri,7,0.0077348066298342545
distant,7,0.0077348066298342545
bounc,7,0.0077348066298342545
building,7,0.0077348066298342545
discharg,7,0.0077348066298342545
delici,7,0.0077348066298342545
defeat,7,0.0077348066298342545
given,7,0.0077348066298342545
lat,7,0.0077348066298342545
cell,7,0.0077348066298342545
swarm,7,0.0077348066298342545
glid,7,0.0077348066298342545
root,7,0.0077348066298342545
vivillon,7,0.0077348066298342545
trunk,7,0.0077348066298342545
sinc,7,0.0077348066298342545
trash,7,0.0077348066298342545
gathering,7,0.0077348066298342545
suction,7,0.0077348066298342545
weapon,7,0.0077348066298342545
sur,7,0.0077348066298342545
carry,7,0.0077348066298342545
mushroom,7,0.0077348066298342545
sweat,7,0.0077348066298342545
gl,7,0.0077348066298342545
rarely,7,0.0077348066298342545
driv,7,0.0077348066298342545
dragon,7,0.0077348066298342545
seeking,7,0.0077348066298342545
whenev,7,0.0077348066298342545
rub,7,0.0077348066298342545
topography,7,0.0077348066298342545
frigid,7,0.0077348066298342545
research,7,0.0077348066298342545
feroci,7,0.0077348066298342545
slic,7,0.0077348066298342545
whip,7,0.0077348066298342545
cliff,7,0.0077348066298342545
dust,7,0.0077348066298342545
impressiv,7,0.0077348066298342545
warning,7,0.0077348066298342545
volc,7,0.0077348066298342545
teamwork,7,0.0077348066298342545
minut,7,0.0077348066298342545
fierc,7,0.0077348066298342545
extend,7,0.0077348066298342545
antenna,7,0.0077348066298342545
shield,7,0.0077348066298342545
lift,7,0.0077348066298342545
treasur,7,0.0077348066298342545
thinking,7,0.0077348066298342545
scientist,7,0.0077348066298342545
rampag,7,0.0077348066298342545
slim,7,0.0077348066298342545
darknes,7,0.0077348066298342545
organism,7,0.0077348066298342545
hous,7,0.0077348066298342545
encount,7,0.0077348066298342545
emerged,7,0.0077348066298342545
dirty,7,0.0077348066298342545
molten,7,0.0077348066298342545
atmosph,7,0.0077348066298342545
offens,7,0.0077348066298342545
truck,7,0.0077348066298342545
foreleg,7,0.0077348066298342545
toxim,7,0.0077348066298342545
sol,7,0.0077348066298342545
happines,7,0.0077348066298342545
cre,7,0.0077348066298342545
volcanic,7,0.0077348066298342545
trail,7,0.0077348066298342545
hung,7,0.0077348066298342545
stat,7,0.0077348066298342545
teeth,7,0.0077348066298342545
point,7,0.0077348066298342545
hat,7,0.0077348066298342545
death,7,0.0077348066298342545
harsh,7,0.0077348066298342545
rag,7,0.0077348066298342545
wrap,7,0.0077348066298342545
smart,7,0.0077348066298342545
sink,7,0.0077348066298342545
waiting,7,0.0077348066298342545
curs,7,0.0077348066298342545
spend,7,0.0077348066298342545
singing,7,0.0077348066298342545
intelligenc,7,0.0077348066298342545
temperament,7,0.0077348066298342545
hardened,7,0.0077348066298342545
second,7,0.0077348066298342545
moth,6,0.0066298342541436465
uniqu,6,0.0066298342541436465
truth,6,0.0066298342541436465
begim,6,0.0066298342541436465
era,6,0.0066298342541436465
saf,6,0.0066298342541436465
thin,6,0.0066298342541436465
pain,6,0.0066298342541436465
entirely,6,0.0066298342541436465
friendly,6,0.0066298342541436465
leftov,6,0.0066298342541436465
eas,6,0.0066298342541436465
pattern,6,0.0066298342541436465
loud,6,0.0066298342541436465
best,6,0.0066298342541436465
really,6,0.0066298342541436465
thank,6,0.0066298342541436465
wheth,6,0.0066298342541436465
bitt,6,0.0066298342541436465
tank,6,0.0066298342541436465
spinning,6,0.0066298342541436465
impossibl,6,0.0066298342541436465
absolutely,6,0.0066298342541436465
thread,6,0.0066298342541436465
skull,6,0.0066298342541436465
missing,6,0.0066298342541436465
conflict,6,0.0066298342541436465
els,6,0.0066298342541436465
listen,6,0.0066298342541436465
expel,6,0.0066298342541436465
happy,6,0.0066298342541436465
ill,6,0.0066298342541436465
deeply,6,0.0066298342541436465
weight,6,0.0066298342541436465
tend,6,0.0066298342541436465
ruim,6,0.0066298342541436465
hop,6,0.0066298342541436465
snap,6,0.0066298342541436465
hang,6,0.0066298342541436465
galarian,6,0.0066298342541436465
stretch,6,0.0066298342541436465
flap,6,0.0066298342541436465
formed,6,0.0066298342541436465
searching,6,0.0066298342541436465
fainting,6,0.0066298342541436465
sit,6,0.0066298342541436465
prid,6,0.0066298342541436465
whit,6,0.0066298342541436465
drifting,6,0.0066298342541436465
oil,6,0.0066298342541436465
territor,6,0.0066298342541436465
seaweed,6,0.0066298342541436465
compet,6,0.0066298342541436465
rough,6,0.0066298342541436465
fruit,6,0.0066298342541436465
advantag,6,0.0066298342541436465
cauti,6,0.0066298342541436465
wint,6,0.0066298342541436465
wound,6,0.0066298342541436465
difficult,6,0.0066298342541436465
habit,6,0.0066298342541436465
fleec,6,0.0066298342541436465
afterlif,6,0.0066298342541436465
bett,6,0.0066298342541436465
considered,6,0.0066298342541436465
silk,6,0.0066298342541436465
crown,6,0.0066298342541436465
embodi,6,0.0066298342541436465
clay,6,0.0066298342541436465
contact,6,0.0066298342541436465
dat,6,0.0066298342541436465
gain,6,0.0066298342541436465
alien,6,0.0066298342541436465
strategy,6,0.0066298342541436465
metallic,6,0.0066298342541436465
torn,6,0.0066298342541436465
person,6,0.0066298342541436465
created,6,0.0066298342541436465
pad,6,0.0066298342541436465
regiom,6,0.0066298342541436465
mind,6,0.0066298342541436465
quiet,6,0.0066298342541436465
safety,6,0.0066298342541436465
particularly,6,0.0066298342541436465
flowing,6,0.0066298342541436465
fiv,6,0.0066298342541436465
hungry,6,0.0066298342541436465
possessed,6,0.0066298342541436465
solitud,6,0.0066298342541436465
fluffy,6,0.0066298342541436465
content,6,0.0066298342541436465
freely,6,0.0066298342541436465
coming,6,0.0066298342541436465
increas,6,0.0066298342541436465
burst,6,0.0066298342541436465
joy,6,0.0066298342541436465
absorbing,6,0.0066298342541436465
groudon,6,0.0066298342541436465
foot,6,0.0066298342541436465
volbeat,6,0.0066298342541436465
chanc,6,0.0066298342541436465
creating,6,0.0066298342541436465
faint,6,0.0066298342541436465
finish,6,0.0066298342541436465
cocoon,6,0.0066298342541436465
must,6,0.0066298342541436465
blu,6,0.0066298342541436465
zoru,6,0.0066298342541436465
immens,6,0.0066298342541436465
beak,6,0.0066298342541436465
pink,6,0.0066298342541436465
mystery,6,0.0066298342541436465
seawat,6,0.0066298342541436465
dry,6,0.0066298342541436465
memb,6,0.0066298342541436465
div,6,0.0066298342541436465
angered,6,0.0066298342541436465
writing,6,0.0066298342541436465
blown,6,0.0066298342541436465
slow,6,0.0066298342541436465
led,6,0.0066298342541436465
round,6,0.0066298342541436465
dna,6,0.0066298342541436465
discovered,6,0.0066298342541436465
predict,6,0.0066298342541436465
exeggu,6,0.0066298342541436465
mercy,6,0.0066298342541436465
scyth,6,0.0066298342541436465
devour,6,0.0066298342541436465
front,6,0.0066298342541436465
inflat,6,0.0066298342541436465
kyogr,6,0.0066298342541436465
turned,6,0.0066298342541436465
quick,6,0.0066298342541436465
venom,6,0.0066298342541436465
understand,6,0.0066298342541436465
oce,6,0.0066298342541436465
manipulat,6,0.0066298342541436465
gorge,6,0.0066298342541436465
mood,6,0.0066298342541436465
seeing,6,0.0066298342541436465
broken,6,0.0066298342541436465
watch,6,0.0066298342541436465
sleeping,5,0.0055248618784530384
exposed,5,0.0055248618784530384
nobody,5,0.0055248618784530384
fist,5,0.0055248618784530384
returm,5,0.0055248618784530384
reaching,5,0.0055248618784530384
zoroark,5,0.0055248618784530384
charm,5,0.0055248618784530384
flav,5,0.0055248618784530384
receiv,5,0.0055248618784530384
grasp,5,0.0055248618784530384
leek,5,0.0055248618784530384
comfortabl,5,0.0055248618784530384
sc,5,0.0055248618784530384
collect,5,0.0055248618784530384
